,day,hour,EVs,total_daily_use,pop_daily_use,ev_daily_use
0,0,,21731,908178.840706116,886498.4774999999,21680.363206116006
1,0,,21905,913121.1739373797,891267.2161797995,21853.957757580003
2,1,,22040,918054.3780605958,896065.7348751562,21988.64318544
3,2,,22170,922973.9004190854,900855.5601549656,22118.340264120005
4,3,,22286,927494.8221063113,905260.7521412154,22234.069965095994
5,4,,22414,932279.3954578545,909917.6237537506,22361.77170410399
6,5,,22544,937053.599674986,914562.1308922025,22491.468782783995
7,6,,22663,941750.9569380418,919140.7654447735,22610.191493268005
8,7,,22787,946340.3517577548,923606.4492048225,22733.90255293199
9,8,,22909,951115.0130868371,928259.3948139133,22855.618272924003
10,9,,23049,956444.9561713442,933449.6641213797,22995.292049964
11,10,,23190,961658.759070886,938522.7955740461,23135.96349684001
12,11,,23324,966702.9484712316,943433.2972163677,23269.651254863995
13,12,,23453,971674.0253128723,948275.6746491644,23398.350663708
14,13,,23573,976067.5720601778,952549.5010161499,23518.071044028005
15,14,,23706,981133.2702376075,957482.5091053912,23650.761132215997
16,15,,23837,986022.7804084396,962241.324527708,23781.455880731995
17,16,,23985,991342.309859011,967413.1988425513,23929.111016460003
18,17,,24118,996348.8388995854,972287.0377949374,24061.801104648
19,18,,24256,1001674.9839189217,977475.5043769056,24199.479542015994
20,19,,24392,1006710.4544384073,982375.2917986953,24335.162639712005
21,20,,24530,1011801.7078754982,987328.8667984183,24472.841077080004
22,21,,24666,1016688.5260817532,992080.0019069774,24608.52417477601
23,22,,24789,1021573.5317947905,996842.2942301868,24731.23756460401
24,23,,24931,1026928.293278073,1002055.386596757,24872.906681316
25,24,,25064,1032138.8769573434,1007133.2801878395,25005.59676950399
26,25,,25200,1037195.5169328104,1012054.2370656101,25141.279867199995
27,26,,25331,1042010.7779986508,1016738.803382935,25271.974615716
28,27,,25458,1046713.7122521204,1021315.0335672328,25398.678684888007
29,28,,25592,1051804.881828833,1026272.5153859211,25532.366442912
30,29,,25725,1056937.8180934032,1031272.7615623039,25665.0565311
31,30,,25852,1061911.2532491246,1036119.4926488526,25791.760600271995
32,31,,25995,1067436.4243521616,1041501.9969653415,25934.42738682
33,32,,26130,1072327.3117951718,1046258.198980492,26069.112814679993
34,33,,26278,1077935.7147511449,1051718.9468007372,26216.767950407997
35,34,,26425,1083090.0221203943,1056726.596704094,26363.4254163
36,35,,26571,1088414.3430617347,1061905.2578493787,26509.085212356007
37,36,,26705,1093583.1612754955,1066940.388305115,26642.772970380003
38,37,,26856,1098735.6712654198,1071942.250149804,26793.421115615998
39,38,,26990,1103953.0480674577,1077025.9391938173,26927.108873639994
40,39,,27113,1108734.8449319538,1081685.0226684862,27049.822263468
41,40,,27264,1114166.704651432,1086966.234242728,27200.470408703994
42,41,,27404,1119644.736953752,1092304.5927680077,27340.144185744
43,42,,27548,1124850.705450072,1097366.8968079442,27483.808642128002
44,43,,27681,1130231.860265282,1102615.361534966,27616.498730315998
45,44,,27849,1136679.2253968315,1108895.118134067,27784.107262764002
46,45,,27979,1141831.7578440818,1113917.9535026385,27913.80434144399
47,46,,28140,1147657.936516506,1119583.5073314656,28074.429185040004
48,47,,28284,1153154.2305105566,1124936.1368691323,28218.093641424002
49,48,,28447,1158953.8971379101,1130573.1833132177,28380.713824692008
50,49,,28603,1164819.8822182305,1136283.531899123,28536.350319108005
