,av_charge,completed_trip,dead_cars
0,1.0,0,0
1,0.9599999999999921,0,0
2,0.9200000000000037,2,0
3,0.8799999999999962,3,0
4,0.8399999999999924,5,0
5,0.8000000000000069,5,0
6,0.7599999999999947,6,0
7,0.7200000000000067,5,0
8,0.6800000000000054,12,0
9,0.6399999999999921,11,0
10,0.5999999999999994,18,0
11,0.5600000000000018,10,0
12,0.5200000000000036,13,0
13,0.47999999999999604,8,0
14,0.4399999999999981,14,0
15,0.40000000000000346,11,0
16,0.3600000000000034,19,0
17,0.3204081632653022,11,0
18,0.28122448979591924,11,0
19,0.24285714285714077,13,0
20,0.20530612244898125,26,0
21,0.1697959183673449,1,0
22,0.13795918367346854,0,0
23,0.11755102040816214,0,0
24,0.11224489795918297,0,0
25,0.1244897959183674,0,356
26,0.16448979591836632,0,282
27,0.2395918367346938,0,196
28,0.3334693877551014,0,141
29,0.4477551020408152,1,62
30,0.5608163265306126,2,62
31,0.6644897959183675,0,26
32,0.7693877551020419,2,4
33,0.8444897959183664,8,1
34,0.8844897959183653,6,0
35,0.9020408163265331,8,0
36,0.8873469387755041,11,0
37,0.8726530612244942,10,0
38,0.843265306122447,13,0
39,0.804897959183668,12,0
40,0.7653061224489844,13,0
41,0.725306122448976,23,0
42,0.6853061224489824,20,0
43,0.6453061224489804,14,0
44,0.6053061224489742,16,0
45,0.5653061224489793,16,1
46,0.5257142857142848,24,1
47,0.4865306122448987,19,1
48,0.44816326530612083,26,0
49,0.40979591836734525,23,0
50,0.3738775510204089,28,6
51,0.3387755102040789,12,6
52,0.30775510204081397,11,4
53,0.2836734693877551,20,2
54,0.26693877551020223,17,1
55,0.25591836734693896,13,71
56,0.24979591836734497,3,59
57,0.25551020408163266,2,48
58,0.2746938775510195,5,29
59,0.2995918367346919,5,15
60,0.3306122448979583,1,202
61,0.36734693877550895,2,161
62,0.4167346938775495,1,127
63,0.47142857142857114,5,86
64,0.530612244897957,4,44
65,0.5861224489795929,7,87
66,0.6379591836734667,4,57
67,0.6922448979591838,8,34
68,0.7314285714285701,7,27
69,0.7604081632653009,12,15
70,0.7742857142857171,16,15
71,0.7702040816326498,11,6
72,0.7665306122448955,9,0
73,0.751020408163265,14,0
74,0.7265306122448928,12,0
75,0.6991836734693907,11,1
76,0.6673469387755074,15,0
77,0.6359183673469352,24,0
78,0.6016326530612242,26,0
79,0.5648979591836704,16,0
80,0.5285714285714269,16,3
81,0.49306122448979317,12,3
82,0.45836734693877484,13,2
83,0.42408163265306076,17,2
84,0.39346938775510054,16,0
85,0.3653061224489777,21,45
86,0.33877551020407903,10,37
87,0.31591836734693735,12,31
88,0.3004081632653061,6,21
89,0.28979591836734464,13,15
90,0.2836734693877538,12,120
91,0.28326530612244705,4,98
92,0.2930612244897951,6,82
93,0.3130612244897946,5,55
94,0.3473469387755075,5,22
95,0.38530612244897855,6,140
96,0.42775510204081474,3,103
97,0.4799999999999981,1,78
98,0.5334693877551016,9,48
99,0.5869387755102019,7,24
100,0.6302040816326536,6,68
