,x,y,Station_Name,City
0,-79.606999,43.689841,Hilton Garden Inn,Mississauga
1,-79.6203344,43.5834681,Scotiabank,Mississauga
2,-79.560257,43.647906,ImPark - Burnhamthorpe Square,Mississauga
4,-79.673548661377,43.617097062236,Electrical Safety Authority,Mississauga
5,-79.6092022,43.6876627,AIRWAY CENTRE,Mississauga
9,-79.6146542,43.6533475,CHARGEPOINT 001,Mississauga
11,-79.624115,43.631541,Addison Chevrolet,Mississauga
12,-79.607736,43.659886,Nissan Canada Financial Services Inc,Mississauga
13,-79.638069,43.703078,International Centre,Mississauga
14,-79.6172446846905,43.6159655947781,Tomken Plaza,Mississauga
16,-79.6415867,43.58943,MORGUARD,Mississauga
20,-79.7068346,43.5578926,ERIN MILLS,Mississauga
21,-79.7862,43.5984,Meadowvale - Tesla Supercharger,Mississauga
22,-79.754735,43.605041,Enersource Head Office,Mississauga
23,-79.619936,43.712306,Lange Transport,Mississauga
24,-79.620454,43.685691,Pearson Airport - Terminal 1 Parking,Mississauga
25,-79.620454,43.685691,Pearson Airport - Terminal 3 Parking,Mississauga
26,-79.596632,43.659284,ImPark - Novo-nordisk,Mississauga
27,-79.742592,43.601136,ImPark - Hilton Mississauga,Mississauga
28,-79.74574,43.608983,RBC Royal Bank,Mississauga
30,-79.58703,43.596675,Crown Realty - 1004 Middle Gate Rd,Mississauga
31,-79.588068,43.604834,FLO - Canadian Tire - Mississauga Dundas St.,Mississauga
32,-79.754934,43.605018,Alectra - 2185 Derry Rd,Mississauga
33,-79.620802,43.636954,FLO - Canadian Tire - Mississauga Dixie Rd,Mississauga
34,-79.709644,43.647357,Region of Peel - 7120 Hurontario St.,Mississauga
35,-79.61991,43.69219,Alt Hotel Toronto Airport,Mississauga
36,-79.6839338,43.6251253,TJX EV STATION,Mississauga
37,-79.605459,43.686992,Park'N Fly Toronto Valet Airport Parking - Tesla Destination,Mississauga
38,-79.602927,43.687137,Hilton Toronto Airport Hotel & Suites - Tesla Destination,Mississauga
39,-79.614682,43.689703,ALT Hotel - Toronto Airport - Tesla Destination,Mississauga
40,-79.740092,43.597203,Addison Chevy GMC,Mississauga
41,-79.691526,43.637139,Triovest,Mississauga
42,-79.597372,43.658514,ImPark - College Square,Mississauga
43,-79.653215,43.518128,Combined Air,Mississauga
44,-79.68311,43.672477,Inralec Electrical Products,Mississauga
45,-79.5960283,43.6697598,GTAA TRCA,Mississauga
47,-79.6403049,43.5958508,SW SMALL LOT,Mississauga
48,-79.6161644,43.6331236,PFAFF BMW,Mississauga
50,-79.77959,43.59808,Ontario Charging Network LP,Mississauga
51,-79.6606372,43.6151424,Sandalwood Square,Mississauga
52,-79.6470088,43.5801567,RioCan Grand Park,Mississauga
53,-79.6289806,43.5087367,Canadian Tire Corporation,Mississauga
54,-79.6535412,43.5697139,EDTF,Mississauga
